RICE;RICE_KEY;RICE base;Tipo comparação;Presente Empresa;Presente Consultoria;Origem;Qtd registros na origem;Fases encontradas na origem;Responsáveis consolidados;Status consolidado origem;Fase consolidada origem;Total registros Empresa;Total registros Consultoria;__origem;__arquivo;Identificação da tarefa;Nome da tarefa;Categoria;Meta;Status;Prioridade;Atribuído a;Criado por;Criado em;Data de conclusão;Data de início;É Recorrente;Atrasados;Concluído em;Concluída por;Itens concluídos da lista de verificação;Itens da lista de verificação;Rótulos;Notas
FAB-240;FAB240;FAB-240;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;aBDiEAeGkUq5D9PnMsR1zGUALzDK;FAB-240 - Tratamento de Divergências no recebimento;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-28;2025-10-28;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FAB-240;FAB240;FAB-240;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;DOUGLAS NIERO;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;m6nqSekvjEegC_o3s6SGY2UAJfgd;FAB-240 [Tratamento de Divergências no recebimento];10|Deploy;;Concluída;Média;DOUGLAS NIERO;Kauan Rossa;2025-12-23;2025-10-31;;;false;2026-02-19;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Tratamento de Divergências no recebimento
FAB-270;FAB270;FAB-270;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;nH0kmJEBlUKF0bQbAcY22mUAFdXC;FAB-270 - Aprovação de requisição de saidas de estoque por perda, sinistro, desperdicios e quebras;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-09-23;2025-09-23;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FAB-270;FAB270;FAB-270;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;DOUGLAS NIERO;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;sFe6FVt2nUGY-OLUImWsP2UAIdQG;FAB-270 [Aprovação de requisição de saidas de estoque por perda, sinistro, desperdicios e quebras];10|Deploy;;Concluída;Média;DOUGLAS NIERO;Kauan Rossa;2025-12-23;2025-09-12;;;false;2026-02-19;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Aprovação de requisição de saidas de estoque por perda, sinistro, desperdicios e quebras
FAB-420;FAB420;FAB-420;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;jla79BAuFEaUx8nBJGsRJ2UACAkQ;FAB-420 - Saldos e Empréstimos à Fixar e Reversão (Transformação);10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-06;2025-11-06;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FAB-420;FAB420;FAB-420;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;DOUGLAS NIERO;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;KJ-pN-X5p0CPdhuk0xYBbGUAAeIX;FAB-420 [Saldos e Empréstimos à Fixar e Reversão (Transformação)];10|Deploy;;Concluída;Média;DOUGLAS NIERO;Kauan Rossa;2025-12-23;2025-10-30;;;false;2026-02-19;Renan Strapazzon;;;Agrosys;Saldos e Empréstimos à Fixar e Reversão (Transformação)
FAB-580;FAB580;FAB-580;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;EC81qhCq_0iIPMteJVLMsWUAEzNu;FAB-580 - Acréscimo de insumos em uma ordem de produção;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-24;2025-10-24;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FAB-580;FAB580;FAB-580;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"DOUGLAS NIERO; kleyton.medeiros";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;hjFpGyxCmE2re9m1MD-M9mUAG6rO;FAB-580 [Acréscimo de insumos em uma ordem de produção];10|Deploy;;Concluída;Média;"DOUGLAS NIERO;kleyton.medeiros";Kauan Rossa;2025-12-23;2025-09-12;;;false;2026-02-19;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Acréscimo de insumos em uma ordem de produção
FAB-585;FAB585;FAB-585;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Não iniciado;07|Ajuste|Cons;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;hixjM1l3_0ShGAzju7sYv2UAIoz4;FAB-585 - Prescrição de Medicamentos ;07|Ajuste|Cons;;Não iniciado;Média;;Jean Piere Moretto;2026-01-29;2025-11-25;2025-11-25;;true;;;;;15|Agrosys - Fab. Rações e FFO;
FAB-585 PRE;FAB585PRE;FAB-585 PRE;Só na Consultoria;Não;Sim;Consultoria;1;09|Teste|Key User;"DOUGLAS NIERO; kleyton.medeiros";Em andamento;09|Teste|Key User;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;th6AY0rsnkymXWQe3p-2MWUAFvRS;FAB-585 Prescrição de Medicamentos (Fábrica);09|Teste|Key User;;Em andamento;Média;"DOUGLAS NIERO;kleyton.medeiros";Kauan Rossa;2025-12-23;2025-11-21;;;true;;;;;Agrosys;Prescrição de Medicamentos  (Fábrica)
FAB-590;FAB590;FAB-590;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;hcvFoz_ZKkauvTPcTrB28GUAMsAc;FAB-590 - Baixa das Ordens de Produção (Operação Bovinos e Ovinos);10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-07;2025-10-07;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FAB-590;FAB590;FAB-590;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;A8DSCor4rEWEipwNBv5Yj2UAMz_0;FAB-590 [Baixa das Ordens de Produção (Operação Bovinos e Ovinos)];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-09-19;;;false;2026-02-19;Renan Strapazzon;;;Agrosys;Baixa das Ordens de Produção (Operação Bovinos e Ovinos)
FAB-825;FAB825;FAB-825;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;GD8mRAZtjEaxm7AlpoK9nGUAHLY8;FAB-825 - Geração da Ordem de Produção de Acordo com Peso Expedido;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-09-30;2025-09-30;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FAB-825;FAB825;FAB-825;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;upbsQLgOKE2wvlgVnb71nWUAMGrJ;FAB-825 [Geração da Ordem de Produção de Acordo com Peso Expedido];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-09-19;;;false;2026-02-19;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Geração da Ordem de Produção de Acordo com Peso Expedido
FAB-845;FAB845;FAB-845;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;koyxkSiJRU-spH76pJtsHWUAEWLs;FAB-845 - Preços de Remessa de Insumos e Produtos e Preços de Venda;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-01;2025-10-01;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FAB-845;FAB845;FAB-845;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;aKSleo0TXkiKPNdYwYnG02UADvzF;FAB-845 [Preços de Remessa de Insumos e Produtos, transferencias, remessas para industrialização];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-09-05;;;false;2026-02-19;Renan Strapazzon;;;Agrosys;Preços de Remessa de Insumos e Produtos, transferencias, remessas para industrialização
FFO-200.10;FFO200.10;FFO-200.10;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;815k9AbrvE-HUGITfIZ6u2UALlkB;FFO-200.10 - Cria Contrato Prestação Serviço Terceiros;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-28;2025-10-28;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-200.10;FFO200.10;FFO-200.10;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;QZ3FY3aWAU2haoy4228-h2UANhfN;FFO-200.10 [Cria Contrato Prestação Serviço Terceiros];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-10-17;;;false;2026-03-02;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Cria Contrato Prestação Serviço Terceiros
FFO-200.40;FFO200.40;FFO-200.40;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;Aplg8Ofd40aYkZpif3Vna2UAA6ML;FFO-200.40 - Matéria Prima Terceiros;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-28;2025-10-28;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-200.40;FFO200.40;FFO-200.40;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;q7qoWTyfz0eedLBfPHY9VmUABT0f;FFO-200.40 [Matéria Prima Terceiros];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-10-24;;;false;2026-03-02;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Matéria Prima Terceiros
FFO-200.50;FFO200.50;FFO-200.50;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;HMv3gtl3oUKt_LxKr2H6a2UAHPAz;"FFO-200.50 - Matéria Prima Retornada Terceiro ""Pronta""";10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-10;2025-11-10;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-200.50;FFO200.50;FFO-200.50;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;xTHPt9x2rU6luf_XoLqZE2UAIqUu;"FFO-200.50 [Matéria Prima Retornada Terceiro ""Pronta""]";10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-11-07;;;false;2026-03-02;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";"Matéria Prima Retornada Terceiro ""Pronta"""
FFO-200.60;FFO200.60;FFO-200.60;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;kAmhBkqrfEqOfufik-bIHmUAD7fP;FFO-200.60 - Abre Ordem Produção, P/ Gerar a Transformação em Produto Próprio, Ser um SKU Diferente;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-03;2025-11-03;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-200.60;FFO200.60;FFO-200.60;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;xHoUGL2G80WM_53Q5V2HTGUANPl3;FFO-200.60 [Abre Ordem Produção, P/ Gerar a Transformação em Produto Próprio, Ser um SKU Diferente];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-10-31;;;false;2026-03-02;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Abre Ordem Produção, P/ Gerar a Transformação em Produto Próprio, Ser um SKU Diferente
FFO-300.20;FFO300.20;FFO-300.20;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;C2oFesdI6E21rkUjlbAFsmUAJYSy;FFO-300.20 - Produção Via Estação Dentro Planta;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-28;2025-10-28;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-300.20;FFO300.20;FFO-300.20;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;4k_Wt_uZNka0ZxXe4rh7PWUAK8D5;FFO-300.20 [Produção Via Estação Dentro Planta];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-10-17;;;false;2026-03-02;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Produção Via Estação Dentro Planta
FFO-300.30;FFO300.30;FFO-300.30;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;XMLDeeULnE-znHja8Ju9iWUABtrf;FFO-300.30 - Produção Via Balança Rodoviária;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-07;2025-11-07;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-300.30;FFO300.30;FFO-300.30;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;-bo5NujpHkuXB9wEIcI17WUAKxiQ;FFO-300.30 [Produção Via Balança Rodoviária];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-11-07;;;false;2026-03-02;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Produção Via Balança Rodoviária
FFO-300.60;FFO300.60;FFO-300.60;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;GGE4mihwekmLafbhsiWBzWUAEXYx;FFO-300.60 - Transfere Estoque Produto Gerencial No Produto Atendido;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-03;2025-11-03;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-300.60;FFO300.60;FFO-300.60;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;JrQ7f34pgkGozXBu0YDaZGUADGBy;FFO-300.60 [Transfere Estoque Produto Gerencial No Produto Atendido];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-10-24;;;false;2026-03-12;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Transfere Estoque Produto Gerencial No Produto Atendido
FFO-300.70;FFO300.70;FFO-300.70;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;g1GnBxl7BkWcRFtQ4MaYQGUADrkB;FFO-300.70 - Ordem de Produção  Para Gerar Consumo das Matérias Primas;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-03;2025-11-03;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-300.70;FFO300.70;FFO-300.70;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;hm8IgH8EGUOD2qfymUaqUWUAPo8R;FFO-300.70 [Ordem de Produção Para Gerar Consumo das Matérias Primas];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-10-31;;;false;2026-03-02;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Ordem de Produção  Para Gerar Consumo das Matérias Primas
FFO-400;FFO400;FFO-400;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;ni8XPLb-JEWoqBA-nyXfGGUAPL2p;FFO-400 - Acompanhamento Saldo Contrato;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-12;2025-11-12;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-400;FFO400;FFO-400;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;Jw5OLaE6E06T4pZksfBbQmUAFlbf;FFO-400 [Acompanhamento Saldo Contrato];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-11-07;;;false;2026-03-12;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Acompanhamento Saldo Contrato
FFO-500.10;FFO500.10;FFO-500.10;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;Ua5j2pE3aEi8z--4vFIN9GUAEYSu;FFO-500.10 - Fechamento Dos Estoque Mensal;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-19;2025-11-19;;false;2026-01-29;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
FFO-500.10;FFO500.10;FFO-500.10;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;suWLcaCJG06xAMM04NXmPWUAELEQ;FFO-500.10 [Fechamento Dos Estoque Mensal];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-11-14;;;false;2026-03-12;Renan Strapazzon;;;Agrosys;Fechamento Dos Estoque Mensal
FRG.100;FRG.100;FRG.100;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;ICUrq-NiRkWTWG7eRJj_EGUAFlvK;FRG.100 - Pesagem Frango Vivo;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-28;2025-10-28;;false;2026-01-29;Jean Piere Moretto;;;16|Agrosys - Frango Corte e Peixe;
FRG.100;FRG.100;FRG.100;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;Rit2sEept0-I86jyUabiDWUAJDZe;FRG.100 [Enviar Pesagem Frango Vivo];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-09-05;;;false;2026-02-23;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Enviar Pesagem Frango Vivo
FRG.110;FRG.110;FRG.110;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;QcH-iUJWDUmES056ve9uHGUADp8l;FRG.110 - Consulta Estoque Online;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-28;2025-10-28;;false;2026-01-29;Jean Piere Moretto;;;16|Agrosys - Frango Corte e Peixe;
FRG.110;FRG.110;FRG.110;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;yynQHeSea0iSN4Bvn7x1g2UAADgZ;FRG.110 [Consulta Estoque Online];10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2025-09-05;;;false;2026-02-23;Renan Strapazzon;;;"SIT - Agrosys;Agrosys";Consulta Estoque Online
